mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_linearsvm__C,param_linearsvm__max_iter,param_linearsvm__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8810956001281738,0.013982133539019313,0.16552424430847168,0.003877996036287974,0.001,10000,0.01,"{'linearsvm__C': 0.001, 'linearsvm__max_iter': 10000, 'linearsvm__tol': 0.01}",0.8316079150832132,0.8316079150832132,0.8314768706591534,0.8315858453473133,0.8315858453473133,0.8315728783040413,4.900797504249491e-05,28
0.932233476638794,0.04799963692094365,0.18202433586120606,0.016682133343820883,0.001,10000,0.0001,"{'linearsvm__C': 0.001, 'linearsvm__max_iter': 10000, 'linearsvm__tol': 0.0001}",0.8316079150832132,0.8316079150832132,0.8314768706591534,0.8315858453473133,0.8315858453473133,0.8315728783040413,4.900797504249491e-05,28
0.9799036026000977,0.0382607444300453,0.18957757949829102,0.025074017786929324,0.001,10000,1e-06,"{'linearsvm__C': 0.001, 'linearsvm__max_iter': 10000, 'linearsvm__tol': 1e-06}",0.8316079150832132,0.8316079150832132,0.8314768706591534,0.8315858453473133,0.8315858453473133,0.8315728783040413,4.900797504249491e-05,28
0.8975798130035401,0.030849104505432396,0.18838877677917482,0.020180260531094982,0.001,20000,0.01,"{'linearsvm__C': 0.001, 'linearsvm__max_iter': 20000, 'linearsvm__tol': 0.01}",0.8316079150832132,0.8316079150832132,0.8314768706591534,0.8315858453473133,0.8315858453473133,0.8315728783040413,4.900797504249491e-05,28
0.9318824768066406,0.02851612504806212,0.194718074798584,0.012310823723888942,0.001,20000,0.0001,"{'linearsvm__C': 0.001, 'linearsvm__max_iter': 20000, 'linearsvm__tol': 0.0001}",0.8316079150832132,0.8316079150832132,0.8314768706591534,0.8315858453473133,0.8315858453473133,0.8315728783040413,4.900797504249491e-05,28
1.027593994140625,0.023224943227447604,0.19782838821411133,0.009576164037852934,0.001,20000,1e-06,"{'linearsvm__C': 0.001, 'linearsvm__max_iter': 20000, 'linearsvm__tol': 1e-06}",0.8316079150832132,0.8316079150832132,0.8314768706591534,0.8315858453473133,0.8315858453473133,0.8315728783040413,4.900797504249491e-05,28
0.9430789947509766,0.03643939579634859,0.18914976119995117,0.012927873790805455,0.001,50000,0.01,"{'linearsvm__C': 0.001, 'linearsvm__max_iter': 50000, 'linearsvm__tol': 0.01}",0.8316079150832132,0.8316079150832132,0.8314768706591534,0.8315858453473133,0.8315858453473133,0.8315728783040413,4.900797504249491e-05,28
0.9636356353759765,0.01239593330498973,0.18432292938232422,0.006129488213847228,0.001,50000,0.0001,"{'linearsvm__C': 0.001, 'linearsvm__max_iter': 50000, 'linearsvm__tol': 0.0001}",0.8316079150832132,0.8316079150832132,0.8314768706591534,0.8315858453473133,0.8315858453473133,0.8315728783040413,4.900797504249491e-05,28
1.0077432155609132,0.01989920492405923,0.1974703311920166,0.008571440147384217,0.001,50000,1e-06,"{'linearsvm__C': 0.001, 'linearsvm__max_iter': 50000, 'linearsvm__tol': 1e-06}",0.8316079150832132,0.8316079150832132,0.8314768706591534,0.8315858453473133,0.8315858453473133,0.8315728783040413,4.900797504249491e-05,28
0.971898365020752,0.018760082240573232,0.18634157180786132,0.009150656131105704,0.01,10000,0.01,"{'linearsvm__C': 0.01, 'linearsvm__max_iter': 10000, 'linearsvm__tol': 0.01}",0.8427466911282925,0.842484602280173,0.8402568470711571,0.844954128440367,0.8439056356487549,0.8428695809137491,0.0015753371946705173,10
0.9914592742919922,0.02198009871800509,0.1898283004760742,0.009466236696943341,0.01,10000,0.0001,"{'linearsvm__C': 0.01, 'linearsvm__max_iter': 10000, 'linearsvm__tol': 0.0001}",0.8427466911282925,0.842484602280173,0.8402568470711571,0.844954128440367,0.8439056356487549,0.8428695809137491,0.0015753371946705173,10
1.0734148025512695,0.06897175066318342,0.19890050888061522,0.015846916754823494,0.01,10000,1e-06,"{'linearsvm__C': 0.01, 'linearsvm__max_iter': 10000, 'linearsvm__tol': 1e-06}",0.8427466911282925,0.842484602280173,0.8402568470711571,0.844954128440367,0.8439056356487549,0.8428695809137491,0.0015753371946705173,10
0.9932701110839843,0.02148471478157041,0.20457420349121094,0.012017239108457919,0.01,20000,0.01,"{'linearsvm__C': 0.01, 'linearsvm__max_iter': 20000, 'linearsvm__tol': 0.01}",0.8427466911282925,0.842484602280173,0.8402568470711571,0.844954128440367,0.8439056356487549,0.8428695809137491,0.0015753371946705173,10
0.9814247131347656,0.011263653939482237,0.1883491039276123,0.006364216046506568,0.01,20000,0.0001,"{'linearsvm__C': 0.01, 'linearsvm__max_iter': 20000, 'linearsvm__tol': 0.0001}",0.8427466911282925,0.842484602280173,0.8402568470711571,0.844954128440367,0.8439056356487549,0.8428695809137491,0.0015753371946705173,10
1.0322781562805177,0.0346556567871754,0.2079826831817627,0.03038665965684791,0.01,20000,1e-06,"{'linearsvm__C': 0.01, 'linearsvm__max_iter': 20000, 'linearsvm__tol': 1e-06}",0.8427466911282925,0.842484602280173,0.8402568470711571,0.844954128440367,0.8439056356487549,0.8428695809137491,0.0015753371946705173,10
1.025140380859375,0.01881754657344995,0.18249783515930176,0.015729987644647343,0.01,50000,0.01,"{'linearsvm__C': 0.01, 'linearsvm__max_iter': 50000, 'linearsvm__tol': 0.01}",0.8427466911282925,0.842484602280173,0.8402568470711571,0.844954128440367,0.8439056356487549,0.8428695809137491,0.0015753371946705173,10
